CTYNAME,MEDIAN_AGE_TOT
Vernon Parish,32.1
Washington Parish,40.0
Webster Parish,41.9
West Baton Rouge Parish,37.1
West Carroll Parish,42.7
West Feliciana Parish,43.1
Winn Parish,41.6
Androscoggin,40.6
Aroostook,48.7
Cumberland,42.5
Franklin,45.6
Hancock,49.3
Kennebec,44.0
Knox,49.5
Lincoln,51.6
Oxford,48.0
Penobscot,42.9
Piscataquis,50.8
Sagadahoc,47.1
Somerset,47.0
Waldo,47.4
Washington,48.7
York,45.2
Allegany,41.6
Anne Arundel,39.1
Baltimore,39.8
Calvert,40.5
Caroline,40.3
Carroll,41.5
Cecil,40.8
Charles,38.9
Dorchester,44.7
Frederick,39.1
Garrett,47.6
Harford,40.7
Howard,39.6
Kent,49.3
Montgomery,40.5
Prince George's,38.9
Queen Anne's,44.9
St. Mary's,37.3
Somerset,38.5
Talbot,51.3
Washington,40.7
Wicomico,36.3
Worcester,51.1
Baltimore city,36.4
Barnstable,55.6
Berkshire,48.0
Bristol,41.1
Dukes,49.8
Essex,41.1
Franklin,47.1
Hampden,39.5
Hampshire,37.4
Middlesex,39.1
Nantucket,41.8
Norfolk,40.9
Plymouth,43.1
Suffolk,34.2
Worcester,40.4
Alcona,58.9
Alger,49.0
Allegan,40.7
Alpena,47.6
Antrim,51.8
Arenac,50.1
Baraga,45.1
Barry,42.9
Bay,43.7
Benzie,50.6
Berrien,42.8
Branch,41.0
Calhoun,40.0
Cass,45.3
Charlevoix,50.5
Cheboygan,52.2
Chippewa,40.6
Clare,48.5
Clinton,41.7
Crawford,51.3
Delta,47.9
Dickinson,45.9
Eaton,41.7
Emmet,46.7
Genesee,40.9
Gladwin,50.8
Gogebic,51.6
Grand Traverse,43.4
Gratiot,39.4
Hillsdale,42.8
Houghton,32.4
Huron,49.6
Ingham,32.8
Ionia,39.0
Iosco,53.5
Iron,53.6
Isabella,29.9
Jackson,41.1
Kalamazoo,34.9
Kalkaska,44.5
Kent,36.1
Keweenaw,56.2
Lake,52.4
Lapeer,44.6
Leelanau,55.8
Lenawee,42.3
Livingston,44.0
Luce,48.4
Mackinac,52.6
Macomb,41.2
Manistee,50.0
Marquette,39.3
Mason,47.0
Mecosta,40.3
Menominee,49.7
Midland,42.1
Missaukee,43.2
Monroe,42.8
Montcalm,41.0
Montmorency,56.6
Muskegon,39.9
Newaygo,42.9
Oakland,41.5
Oceana,44.0
Ogemaw,50.5
Ontonagon,59.2
Osceola,43.6
Oscoda,52.3
Otsego,44.4
Ottawa,36.4
Presque Isle,56.0
Roscommon,57.2
Saginaw,41.0
St. Clair,44.3
St. Joseph,40.0
Sanilac,45.6
Schoolcraft,52.4
Shiawassee,43.0
Tuscola,44.8
Van Buren,41.9
Washtenaw,35.1
Wayne,37.8
Wexford,42.1
Aitkin,57.2
Anoka,39.0
Becker,43.0
Beltrami,35.2
Benton,36.8
Big Stone,47.5
Blue Earth,31.6
Brown,41.8
Carlton,41.3
Carver,39.4
Cass,49.5
Chippewa,41.1
Chisago,40.9
Clay,33.7
Clearwater,41.1
Cook,53.0
Cottonwood,41.5
Crow Wing,45.5
Dakota,39.0
Dodge,38.8
Douglas,44.2
Faribault,43.9
Fillmore,42.4
Freeborn,43.4
Goodhue,42.5
Grant,43.2
Hennepin,37.7
Houston,44.8
Hubbard,48.4
Isanti,40.0
Itasca,47.0
Jackson,44.4
Kanabec,44.1
Kandiyohi,40.0
Kittson,47.3
Koochiching,50.9
Lac qui Parle,47.5
Lake,49.1
Lake of the Woods,49.0
Le Sueur,41.7
Lincoln,44.4
Lyon,37.5
McLeod,41.9
Mahnomen,34.4
Marshall,43.4
Martin,44.5
Meeker,42.3
Mille Lacs,41.0
Morrison,42.7
Mower,38.7
Murray,46.8
Nicollet,38.2
Nobles,36.9
Norman,43.4
Olmsted,37.8
Otter Tail,46.1
Pennington,40.5
Pine,45.6
Pipestone,40.0
Polk,39.5
Pope,45.1
Ramsey,36.3
Red Lake,43.3
Redwood,40.6
Renville,42.7
Rice,37.5
Rock,41.3
Roseau,42.5
St. Louis,41.3
Scott,37.9
Sherburne,36.9
Sibley,41.8
Stearns,35.0
Steele,40.2
Stevens,33.5
Swift,43.2
Todd,43.8
Traverse,46.0
Wabasha,45.1
Wadena,40.0
Waseca,40.4
Washington,40.0
Watonwan,40.9
Wilkin,42.4
Winona,36.8
Wright,37.7
Yellow Medicine,41.9
Adams,43.0
Alcorn,40.9
Amite,47.7
Attala,39.7
Benton,42.4
Bolivar,37.3
Calhoun,42.5
Carroll,46.5
Chickasaw,38.2
Choctaw,44.2
Claiborne,33.9
Clarke,42.7
Clay,40.2
Coahoma,35.8
Copiah,40.6
Covington,38.7
DeSoto,37.4
Forrest,32.4
Franklin,42.7
George,36.0
Greene,39.1
Grenada,39.7
Hancock,46.1
Harrison,38.3
Hinds,36.9
Holmes,36.2
Humphreys,39.2
Issaquena,37.6
Itawamba,38.9
Jackson,40.0
Jasper,42.4
Jefferson,40.6
Jefferson Davis,45.3
Jones,38.6
Kemper,41.6
Lafayette,31.8
Lamar,37.6
Lauderdale,39.4
Lawrence,41.3
Leake,40.2
Lee,37.6
Leflore,34.5
Lincoln,40.7
Lowndes,37.7
Madison,39.0
Marion,40.4
Marshall,41.5
Monroe,41.7
Montgomery,43.1
Neshoba,35.8
Newton,37.8
Noxubee,37.3
Oktibbeha,25.4
Panola,38.9
Pearl River,40.9
Perry,41.3
Pike,37.8
Pontotoc,37.0
Prentiss,38.1
Quitman,39.9
Rankin,39.5
Scott,37.3
Sharkey,42.9
Simpson,40.8
Smith,41.8
Stone,39.4
Sunflower,36.9
Tallahatchie,38.4
